id_troncon,type_section,largeur_fond_m,fruit_z,surface_ha,coeff_ruissellement,longueur_parcours_surface_m,pente_parcours_surface,longueur_troncon_m,pente_troncon,ks_manning_strickler,troncon_amont
1,trapezoidal,0.6,1,152.19,0.834,2232,0.005376344,358.932,0.025074387,70,NONE
2,trapezoidal,0.6,1,152.19,0.834,2232,0.005376344,414.006,0.004830848,70,NONE
3,trapezoidal,0.6,1,152.19,0.834,2232,0.005376344,582.568,0.006866151,70,NONE
5,trapezoidal,0.6,1,152.19,0.834,2232,0.005376344,135.151,0.022197394,70,NONE
6,trapezoidal,0.6,1,152.19,0.834,2232,0.005376344,175.361,0.039917656,70,NONE
7,trapezoidal,0.6,1,152.19,0.834,2232,0.005376344,43.143,0.162251118,70,NONE
8,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,213.957,0.037390691,70,NONE
9,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,142.198,0.014064895,70,2
10,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,273.319,0.007317457,70,5
11,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,332.453,0.01503972,70,6
13,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,165.84,0.03617945,70,21
18,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,303.544,0.023060907,70,17,,
13,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,165.84,0.03617945,70,21,,
19,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,289.745,0.003451311,70,13;18,,
20,trapezoidal,0.6,1,232.89,0.798,3573,0.005877414,53.57,0.037334329,70,14;19,,
22,trapezoidal,0.6,1,102,0.805,2232,0.005376344,440.615,0.006808665,70,3,,
25,trapezoidal,0.6,1,102,0.805,2232,0.005376344,171.079,0.017535758,70,15;20,,
