id_troncon,type_section,largeur_fond_m,fruit_z,surface_ha,coeff_ruissellement,longueur_parcours_surface_m,pente_parcours_surface,longueur_troncon_m,pente_troncon,ks_manning_strickler,troncon_amont,z_start,z_end
TR-4,rectangulaire,0.4,0,49.1,0.833,197,0.02,197,0.005076,67,NONE,48.00,47.00
TR-8,rectangulaire,0.5,0,89.1,0.8,1118,0.02,190,0.036842,67,NONE,45.00,38.00
TR-1,rectangulaire,0.6,0,61.7,0.535,94,0.02,94,0.063830,67,TR-4,47.00,41.00
TR-2,rectangulaire,0.6,0,89.1,0.8,1118,0.02,80,0.012500,67,TR-8,38.00,37.00
TR-3,rectangulaire,0.8,0,106.8,0.614,187,0.02,187,0.010695,67,TR-1;TR-4,41.00,39.00
TR-18,rectangulaire,0.8,0,106.8,0.614,185,0.02,185,0.032432,67,TR-4,47.00,41.00
TR-17,rectangulaire,0.8,0,106.8,0.614,115,0.02,115,0.034783,67,TR-18,41.00,37.00
TR-30,rectangulaire,1.0,0,89.1,0.8,1118,0.02,151,0.006623,67,TR-17;TR-18,37.00,36.00
TR-11,rectangulaire,1.0,0,49.1,0.833,164,0.02,269,0.003717,67,TR-17;TR-18,37.00,36.00
TR-28,rectangulaire,1.0,0,89.1,0.8,1118,0.02,37,0.054054,67,TR-30;TR-17;TR-18,36.00,34.00
TR-19,rectangulaire,1.0,0,53.4,0.533,117,0.02,117,0.085470,67,TR-30;TR-17;TR-18,36.00,26.00
TR-12,rectangulaire,1.2,0,106.8,0.614,269,0.02,269,0.003717,67,TR-11;TR-17;TR-18,36.00,35.00
TR-29,rectangulaire,1.2,0,106.8,0.614,110,0.02,110,0.018182,67,TR-28;TR-30;TR-17;TR-18,34.00,32.00
TR-40,rectangulaire,1.2,0,106.8,0.614,47,0.02,47,0.021277,67,TR-29;TR-28;TR-30;TR-17;TR-18,32.00,31.00
TR-23,rectangulaire,1.2,0,49.1,0.833,113,0.02,113,0.044248,67,TR-29;TR-28;TR-30;TR-17;TR-18,32.00,27.00
TR-35,rectangulaire,1.2,0,53.4,0.533,67,0.02,67,0.014925,67,TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,31.00,30.00
TR-9,rectangulaire,1.2,0,89.1,0.8,1118,0.02,168,0.029762,67,TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,31.00,26.00
TR-20,rectangulaire,1.2,0,106.8,0.614,112,0.02,112,0.071429,67,TR-23;TR-29;TR-28;TR-30;TR-17;TR-18,27.00,19.00
TR-37,rectangulaire,1.5,0,89.1,0.8,197,0.02,197,0.020000,67,TR-35;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,30.00,26.06
TR-10,rectangulaire,1.5,0,49.1,0.833,134,0.02,134,0.014925,67,TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,26.00,24.00
TR-13,rectangulaire,1.5,0,106.8,0.614,184,0.02,184,0.010870,67,TR-20;TR-23;TR-29;TR-28;TR-30;TR-17;TR-18,19.00,17.00
TR-6,rectangulaire,1.5,0,106.8,0.614,248,0.02,248,0.004032,67,TR-37;TR-35;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,26.06,25.06
TR-36,rectangulaire,1.5,0,106.8,0.614,140,0.02,140,0.010000,67,TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,24.00,22.60
TR-24,rectangulaire,1.5,0,89.1,0.8,116,0.02,116,0.010000,67,TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,24.00,22.84
TR-14,rectangulaire,1.8,0,49.1,0.833,180,0.02,180,0.005556,67,TR-13;TR-20;TR-23;TR-29;TR-28;TR-30;TR-17;TR-18,17.00,16.00
TR-26,rectangulaire,1.8,0,89.1,0.8,140,0.02,140,0.028571,67,TR-36;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,22.60,18.60
TR-25,rectangulaire,1.8,0,61.7,0.535,118,0.02,118,0.025424,67,TR-24;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18,22.84,19.84
TR-22,rectangulaire,0.8,0,106.8,0.614,144,0.02,144,0.034722,67,TR-2;TR-8,37.00,32.00
