id_troncon;type_section;surface_cumulee;c_moyen_cumule;tc_final_min;q_max_m3s;diametre_retenu_mm;hauteur_retenue_m;largeur_m;vitesse_ms;statut
TR-4;rectangulaire;49.1;0.83;5.0;0.709;0;1.5;0.4;1.18;OK
TR-8;rectangulaire;89.1;0.8;5.0;1.235;0;0.8;0.5;3.09;OK (Vitesse forte)
TR-1;rectangulaire;110.8;0.67;5.37;1.262;0;0.5;0.6;4.21;OK (Vitesse forte)
TR-2;rectangulaire;178.2;0.8;5.5;2.418;0;1.5;0.6;2.69;OK (Vitesse forte)
TR-3;rectangulaire;266.7;0.68;6.38;2.956;0;1.2;0.8;3.08;OK (Vitesse forte)
TR-18;rectangulaire;155.9;0.68;5.83;1.786;0;0.6;0.8;3.72;OK (Vitesse forte)
TR-17;rectangulaire;262.7;0.65;6.26;2.835;0;0.8;0.8;4.43;OK (Vitesse forte)
TR-30;rectangulaire;507.7;0.69;7.17;5.563;0;2.0;1.0;2.78;OK (Vitesse forte)
TR-11;rectangulaire;467.7;0.68;8.59;4.819;0;2.5;1.0;1.93;OK
TR-28;rectangulaire;1015.4;0.69;7.25;11.092;0;1.5;1.0;7.39;OK (Vitesse forte)
TR-19;rectangulaire;979.7;0.67;7.39;10.357;0;1.2;1.0;8.63;OK (Vitesse forte)
TR-12;rectangulaire;993.1;0.67;10.61;9.306;0;3.5;1.2;2.22;OK (Vitesse forte)
TR-29;rectangulaire;2048.5;0.68;7.6;21.801;0;3.5;1.2;5.19;OK (Vitesse forte)
TR-40;rectangulaire;4097.0;0.68;7.6;43.595;0;0.0;0.0;0.0;Débit trop élevé (43.595 m³/s). La plus grande section disponible est dépassée.
TR-23;rectangulaire;4039.3;0.68;7.81;42.869;0;4.0;1.2;8.93;OK (Vitesse forte)
TR-35;rectangulaire;8140.6;0.68;7.6;86.61;0;0.0;0.0;0.0;Débit trop élevé (86.610 m³/s). La plus grande section disponible est dépassée.
TR-9;rectangulaire;8176.3;0.68;19.53;59.084;0;0.0;0.0;0.0;Débit trop élevé (59.084 m³/s). La plus grande section disponible est dépassée.
TR-20;rectangulaire;8136.3;0.68;7.81;86.115;0;0.0;0.0;0.0;Débit trop élevé (86.115 m³/s). La plus grande section disponible est dépassée.
TR-37;rectangulaire;16316.9;0.68;7.6;173.89;0;0.0;0.0;0.0;Débit trop élevé (173.890 m³/s). La plus grande section disponible est dépassée.
TR-10;rectangulaire;16312.6;0.68;19.53;117.846;0;0.0;0.0;0.0;Débit trop élevé (117.846 m³/s). La plus grande section disponible est dépassée.
TR-13;rectangulaire;16272.6;0.68;7.81;172.231;0;0.0;0.0;0.0;Débit trop élevé (172.231 m³/s). La plus grande section disponible est dépassée.
TR-6;rectangulaire;32651.5;0.68;7.6;347.69;0;0.0;0.0;0.0;Débit trop élevé (347.690 m³/s). La plus grande section disponible est dépassée.
TR-36;rectangulaire;32682.9;0.68;19.53;235.953;0;0.0;0.0;0.0;Débit trop élevé (235.953 m³/s). La plus grande section disponible est dépassée.
TR-24;rectangulaire;32665.2;0.68;19.53;236.014;0;0.0;0.0;0.0;Débit trop élevé (236.014 m³/s). La plus grande section disponible est dépassée.
TR-14;rectangulaire;32487.5;0.68;7.81;344.078;0;0.0;0.0;0.0;Débit trop élevé (344.078 m³/s). La plus grande section disponible est dépassée.
TR-26;rectangulaire;65348.1;0.68;19.53;471.967;0;0.0;0.0;0.0;Débit trop élevé (471.967 m³/s). La plus grande section disponible est dépassée.
TR-25;rectangulaire;65303.0;0.68;19.53;471.622;0;0.0;0.0;0.0;Débit trop élevé (471.622 m³/s). La plus grande section disponible est dépassée.
TR-22;rectangulaire;374.1;0.75;5.99;4.654;0;1.2;0.8;4.85;OK (Vitesse forte)
TR-27;rectangulaire;130668.8;0.68;19.53;943.529;0;0.0;0.0;0.0;Débit trop élevé (943.529 m³/s). La plus grande section disponible est dépassée.
TR-31;rectangulaire;130633.4;0.68;19.53;943.65;0;0.0;0.0;0.0;Débit trop élevé (943.650 m³/s). La plus grande section disponible est dépassée.
TR-21;rectangulaire;748.2;0.75;6.27;9.205;0;1.5;1.0;6.14;OK (Vitesse forte)
TR-15;rectangulaire;261329.3;0.68;19.53;1887.011;0;0.0;0.0;0.0;Débit trop élevé (1887.011 m³/s). La plus grande section disponible est dépassée.
TR-32;rectangulaire;261284.5;0.68;19.53;1887.24;0;0.0;0.0;0.0;Débit trop élevé (1887.240 m³/s). La plus grande section disponible est dépassée.
TR-38;rectangulaire;1496.4;0.75;6.76;18.067;0;2.5;1.2;6.02;OK (Vitesse forte)
TR-16;rectangulaire;522654.3;0.68;19.53;3774.153;0;0.0;0.0;0.0;Débit trop élevé (3774.153 m³/s). La plus grande section disponible est dépassée.
TR-33;rectangulaire;522515.6;0.68;19.53;3774.087;0;0.0;0.0;0.0;Débit trop élevé (3774.087 m³/s). La plus grande section disponible est dépassée.
TR-39;rectangulaire;2935.1;0.75;6.88;35.556;0;3.5;1.5;6.77;OK (Vitesse forte)
TR-34;rectangulaire;5882.8;0.75;6.88;70.984;0;0.0;0.0;0.0;Débit trop élevé (70.984 m³/s). La plus grande section disponible est dépassée.
TR-5;rectangulaire;65303.0;0.68;7.6;695.381;0;0.0;0.0;0.0;Débit trop élevé (695.381 m³/s). La plus grande section disponible est dépassée.
