id_troncon,type_section,largeur_fond_m,fruit_z,surface_ha,coeff_ruissellement,longueur_parcours_surface_m,pente_parcours_surface,longueur_troncon_m,pente_troncon,ks_manning_strickler,troncon_amont,z_start,z_end
TR-4,rectangulaire,0.5,0,4.91,1,833,0.02,197,0.00508,67,NONE,48.00,47.00
TR-8,rectangulaire,0.5,0,8.91,1,1118,0.02,190,0.03684,67,NONE,45.00,38.00
TR-1,rectangulaire,0.5,0,6.17,1,535,0.02,94,0.06383,67,TR-4,47.00,41.00
TR-2,rectangulaire,0.5,0,8.91,1,1118,0.02,80,0.01250,67,TR-8,38.00,37.00
TR-3,rectangulaire,0.5,0,10.68,1,614,0.02,187,0.01070,67,"TR-1;TR-4",41.00,39.00
TR-18,rectangulaire,0.5,0,10.68,1,614,0.02,185,0.03243,67,TR-4,47.00,41.00
TR-17,rectangulaire,0.5,0,10.68,1,614,0.02,115,0.03478,67,TR-18,41.00,37.00
TR-30,rectangulaire,0.5,0,8.91,1,1118,0.02,151,0.00662,67,"TR-17;TR-18",37.00,36.00
TR-11,rectangulaire,0.5,0,4.90,1,833,0.02,164,0.00610,67,"TR-17;TR-18",37.00,36.00
TR-28,rectangulaire,0.5,0,8.91,1,1118,0.02,37,0.05405,67,"TR-30;TR-17;TR-18",36.00,34.00
TR-19,rectangulaire,0.5,0,5.34,1,533,0.02,117,0.08547,67,"TR-30;TR-17;TR-18",36.00,26.00
TR-12,rectangulaire,0.5,0,10.68,1,614,0.02,269,0.00372,67,"TR-11;TR-17;TR-18",36.00,35.00
TR-29,rectangulaire,0.5,0,10.68,1,614,0.02,110,0.01818,67,"TR-28;TR-30;TR-17;TR-18",34.00,32.00
TR-40,rectangulaire,0.5,0,10.68,1,614,0.02,47,0.02128,67,"TR-29;TR-28;TR-30;TR-17;TR-18",32.00,31.00
TR-23,rectangulaire,0.5,0,4.90,1,833,0.02,113,0.04425,67,"TR-29;TR-28;TR-30;TR-17;TR-18",32.00,27.00
TR-35,rectangulaire,0.5,0,5.34,1,533,0.02,67,0.01493,67,"TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",31.00,30.00
TR-9,rectangulaire,0.5,0,8.91,1,1118,0.02,168,0.02976,67,"TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",31.00,26.00
TR-20,rectangulaire,0.5,0,10.68,1,614,0.02,112,0.07143,67,"TR-23;TR-29;TR-28;TR-30;TR-17;TR-18",27.00,19.00
TR-37,rectangulaire,0.5,0,8.91,1,1118,0.02,197,0.02000,67,"TR-35;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",30.00,26.06
TR-10,rectangulaire,0.5,0,4.90,1,833,0.02,134,0.01493,67,"TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",26.00,24.00
TR-13,rectangulaire,0.5,0,10.68,1,614,0.02,184,0.01087,67,"TR-20;TR-23;TR-29;TR-28;TR-30;TR-17;TR-18",19.00,17.00
TR-6,rectangulaire,0.5,0,10.68,1,614,0.02,248,0.00403,67,"TR-37;TR-35;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",26.06,25.06
TR-36,rectangulaire,0.5,0,10.68,1,614,0.02,140,0.01000,67,"TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",24.00,22.60
TR-24,rectangulaire,0.5,0,8.91,1,1118,0.02,116,0.01000,67,"TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",24.00,22.84
TR-14,rectangulaire,0.5,0,4.90,1,833,0.02,180,0.00556,67,"TR-13;TR-20;TR-23;TR-29;TR-28;TR-30;TR-17;TR-18",17.00,16.00
TR-26,rectangulaire,0.5,0,8.91,1,1118,0.02,140,0.02857,67,"TR-36;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",22.60,18.60
TR-25,rectangulaire,0.5,0,6.17,1,535,0.02,118,0.02542,67,"TR-24;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",22.84,19.84
TR-22,rectangulaire,0.5,0,10.68,1,614,0.02,144,0.03472,67,"TR-2;TR-8",37.00,32.00
TR-27,rectangulaire,0.5,0,6.17,1,535,0.02,139,0.01000,67,"TR-26;TR-36;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",18.60,17.21
TR-31,rectangulaire,0.5,0,8.91,1,1118,0.02,60,0.10000,67,"TR-25;TR-24;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",19.84,13.84
TR-21,rectangulaire,0.5,0,10.68,1,614,0.02,102,0.04902,67,"TR-22;TR-2;TR-8",32.00,27.00
TR-15,rectangulaire,0.5,0,5.34,1,533,0.02,109,0.02752,67,"TR-27;TR-26;TR-36;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",17.21,14.21
TR-32,rectangulaire,0.5,0,10.68,1,614,0.02,154,0.00649,67,"TR-31;TR-25;TR-24;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",13.84,12.84
TR-38,rectangulaire,0.5,0,10.68,1,614,0.02,176,0.02841,67,"TR-21;TR-22;TR-2;TR-8",27.00,22.00
TR-16,rectangulaire,0.5,0,4.90,1,833,0.02,83,0.03614,67,"TR-15;TR-27;TR-26;TR-36;TR-10;TR-9;TR-40;TR-29;TR-28;TR-30;TR-17;TR-18",14.21,11.21
