id_troncon,type_section,largeur_fond_m,fruit_z,surface_ha,coeff_ruissellement,longueur_parcours_surface_m,pente_parcours_surface,longueur_troncon_m,pente_troncon,ks_manning_strickler,troncon_amont,z_start,z_end
T_1,rectangulaire,0.5,0,152.19,0.834,2000,0.003,168.112,0.041638907,70,NONE,100.00,93.00
T_2,rectangulaire,0.5,0,152.19,0.834,2000,0.003,34.083,0.234721122,70,NONE,100.00,92.00
T_3,rectangulaire,0.5,0,232.89,0.798,3573,0.00587741,176.647,0.033966045,70,NONE,100.00,94.00
T_4,rectangulaire,0.5,0,232.89,0.798,3573,0.00587741,187.787,0.031951094,70,NONE,100.00,94.00
T_6,rectangulaire,0.5,0,232.89,0.798,3573,0.00587741,343.207,0.014568467,70,T_1,93.00,88.00
T_7,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,49.387,0.06074473,70,NONE,95.00,92.00
T_8,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,358.059,0.019549851,70,T_6;T_7,88.00,81.00
T_9,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,166.478,0.036040798,70,T_2;T_3,92.00,86.00
T_10,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,194.738,0.005135105,70,T_8;T_9,81.00,80.00
T_11,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,77.381,0.025846138,70,T_4,94.00,92.00
T_12,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,159.324,0.018829555,70,T_11;T_10,80.00,77.00
T_13,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,334.418,0.020931888,70,NONE,90.00,83.00
T_14,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,365.957,0.013662807,70,NONE,90.00,85.00
T_15,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,437.802,0.006852413,70,NONE,90.00,87.00
T_5,rectangulaire,0.5,0,101.98,0.805,2232,0.00537634,154.591,0.032343409,70,T_12,77.00,72.00
